training_data_percent,symbolic_val_accuracy,raw_rgb_val_accuracy,average_epoch_time_symbolic,average_epcoh_time_raw
0.1,16.2,16.4,1.3619628190994262,4.973937486347399
0.5,30.6,27.4,2.7163007909601387,5.906857633590699
0.75,35.2,34.0,3.4756588655359604,6.844864805539449
1.0,32.2,31.2,4.343448914979634,7.0541755358378095
2.0,33.8,33.6,7.909919738769531,7.454875508944194
5.0,40.2,49.4,17.752213779248688,12.666038886706035
