training_data_percent,symbolic_val_accuracy,raw_rgb_val_accuracy,average_epoch_time_symbolic,average_epcoh_time_raw
0.1,18.6,10.6,1.588192139353071,4.550520896911621
0.5,21.8,27.0,2.706300451641991,4.907680971869107
0.75,27.0,28.2,3.4543584074292863,5.403518795967102
1.0,31.4,28.0,4.282622933387756,6.060330104827881
2.0,35.4,34.6,7.640109474842365,7.345598640896025
5.0,41.8,45.2,17.68806302547455,12.360680834452312
