training_data_percent,symbolic_val_accuracy,raw_rgb_val_accuracy,average_epoch_time_symbolic,average_epcoh_time_raw
0.1,16.4,12.8,1.4466179035328053,6.367475837469101
0.5,23.2,24.2,2.7906372763893823,6.296802560488383
0.75,27.8,31.6,3.6337870018822804,6.267605950435002
1.0,28.0,31.8,4.5545286406641425,6.754807432492574
2.0,29.6,32.6,8.139967401822409,8.858187862064527
5.0,39.0,42.6,18.07237838662189,12.551096105575562
