training_data_percent,symbolic_val_accuracy,raw_rgb_val_accuracy,average_epoch_time_symbolic,average_epcoh_time_raw
0.1,6.666666666666667,6.666666666666667,0.9195187621646457,3.716799020767212
0.5,4.666666666666667,8.333333333333334,1.4050703048706055,4.210979981855913
0.75,11.0,8.0,1.5849454005559285,4.05633349219958
1.0,8.0,5.666666666666667,2.020574116706848,4.713448721429576
2.0,14.0,5.333333333333333,3.200423489917408,5.619759188758002
5.0,13.666666666666666,17.0,7.030781123373243,8.411635967401358
