alpha,r,threshold,ssim_prob,ssim_binary
5.0,0.1,0.2,0.0033661132558760096
5.0,0.1,0.3,0.0033661132558760096
5.0,0.1,0.4,0.0144769307376111
5.0,0.1,0.5,0.039462560384145876
5.0,0.2,0.2,0.0034631545641089223
5.0,0.2,0.3,0.019554987812025897
5.0,0.2,0.4,0.05068124078489269
5.0,0.2,0.5,0.07188781129089933
5.0,0.3,0.2,0.014065917514266597
5.0,0.3,0.3,0.0564752687644617
5.0,0.3,0.4,0.08380430407266012
5.0,0.3,0.5,0.0928158500586708
5.0,0.4,0.2,0.049961504613548986
5.0,0.4,0.3,0.0900702201523921
5.0,0.4,0.4,0.1046367469511106
5.0,0.4,0.5,0.10631905576447803
10.0,0.1,0.2,0.0032038239922907124
10.0,0.1,0.3,0.018542800086987526
10.0,0.1,0.4,0.047537098850873906
10.0,0.1,0.5,0.06376013188190445
10.0,0.2,0.2,0.045692121393567334
10.0,0.2,0.3,0.08065858227371366
10.0,0.2,0.4,0.10028037535630005
10.0,0.2,0.5,0.10927470714155656
10.0,0.3,0.2,0.10580962676551689
10.0,0.3,0.3,0.13324601366348693
10.0,0.3,0.4,0.14339387086375283
10.0,0.3,0.5,0.14389183076137552
10.0,0.4,0.2,0.20094208774886413
10.0,0.4,0.3,0.21962047952220395
10.0,0.4,0.4,0.22496400199138036
10.0,0.4,0.5,0.22267662690295018
20.0,0.1,0.2,0.05166723699337194
20.0,0.1,0.3,0.07774271221000349
20.0,0.1,0.4,0.09014001177438978
20.0,0.1,0.5,0.09637350605169477
20.0,0.2,0.2,0.16304216220441203
20.0,0.2,0.3,0.18488719393255337
20.0,0.2,0.4,0.19430199888614486
20.0,0.2,0.5,0.19711347047827818
20.0,0.3,0.2,0.5453552948205913
20.0,0.3,0.3,0.5627511604163139
20.0,0.3,0.4,0.5696601268668361
20.0,0.3,0.5,0.570592573734999
20.0,0.4,0.2,0.6967528442371919
20.0,0.4,0.3,0.7106138362159948
20.0,0.4,0.4,0.7162420138006137
20.0,0.4,0.5,0.7173169724425691
