alpha,r,threshold,ssim_prob,ssim_binary
5.0,0.1,0.2,0.003668393247974034
5.0,0.1,0.3,0.003668393247974034
5.0,0.1,0.4,0.013631639343639613
5.0,0.1,0.5,0.02306195666903163
5.0,0.2,0.2,0.0037990792280457714
5.0,0.2,0.3,0.01827246056341874
5.0,0.2,0.4,0.02664799031679909
5.0,0.2,0.5,0.027361547758621194
5.0,0.3,0.2,0.013403932620424212
5.0,0.3,0.3,0.02921794337288685
5.0,0.3,0.4,0.0314065514558159
5.0,0.3,0.5,0.029033261359142803
5.0,0.4,0.2,0.028818405699050326
5.0,0.4,0.3,0.03474070926866028
5.0,0.4,0.4,0.03353266850680217
5.0,0.4,0.5,0.029822374998253996
10.0,0.1,0.2,0.00357815353456141
10.0,0.1,0.3,0.01733547332531774
10.0,0.1,0.4,0.040195562586238326
10.0,0.1,0.5,0.03857499951396942
10.0,0.2,0.2,0.03830023433979394
10.0,0.2,0.3,0.04555136441271808
10.0,0.2,0.4,0.046547471673908825
10.0,0.2,0.5,0.04411025097573518
10.0,0.3,0.2,0.05844179534574989
10.0,0.3,0.3,0.06275448527745126
10.0,0.3,0.4,0.06137350175554574
10.0,0.3,0.5,0.05766759947885124
10.0,0.4,0.2,0.1481571130795233
10.0,0.4,0.3,0.14984683502129997
10.0,0.4,0.4,0.14729233149803195
10.0,0.4,0.5,0.14401736087827724
20.0,0.1,0.2,0.04701117951238375
20.0,0.1,0.3,0.06906355799964582
20.0,0.1,0.4,0.06867660313387203
20.0,0.1,0.5,0.06239516623414422
20.0,0.2,0.2,0.12358413658664755
20.0,0.2,0.3,0.12857996803629987
20.0,0.2,0.4,0.1277279533583667
20.0,0.2,0.5,0.12444794602459093
20.0,0.3,0.2,0.617599219456848
20.0,0.3,0.3,0.6218355989979324
20.0,0.3,0.4,0.6212120734859579
20.0,0.3,0.5,0.6183978173067751
20.0,0.4,0.2,0.8485907913122255
20.0,0.4,0.3,0.8506639234508292
20.0,0.4,0.4,0.8503061952312672
20.0,0.4,0.5,0.8485979151705899
